"correct","correct_response","position","response","response_time","stimuli","stimuli_category","trial"
"1","None","A","None","2000.0261","100_c_24_12g_a_9.jpg","29","190"
"1","p","R","p","543.053400001","100_c_6_2g_r_3.jpg","23","208"
"1","None","A","None","2000.0345","100_c_24_12g_a_20.jpg","29","182"
"1","None","A","None","2000.0248","100_c_6_3g_a_2.jpg","19","223"
"1","None","A","None","2000.466","100_c_24_12g_a_11.jpg","29","172"
"1","None","A","None","2000.0304","100_c_12_6g_a_17.jpg","24","138"
"1","None","A","None","2000.0198","100_c_12_6g_a_15.jpg","24","136"
"1","None","A","None","2000.0356","100_c_24_12g_a_5.jpg","29","186"
"1","p","R","p","1040.8624","100_c_12_6g_r_3.jpg","27","158"
"1","p","R","p","1208.9438","100_c_24_11g_r_1.jpg","33","166"
"1","p","R","p","682.7689","100_c_24_12g_r_1.jpg","32","196"
"1","None","A","None","2000.0229","100_c_24_12g_a_13.jpg","29","174"
"1","q","L","q","1115.2895","100_c_12_5g_l_3.jpg","26","123"
"1","None","A","None","2000.0246","100_c_12_6g_a_14.jpg","24","135"
"1","None","A","None","2000.0248","100_c_12_6g_a_12.jpg","24","133"
"1","None","A","None","2000.0221","100_c_12_6g_a_6.jpg","24","147"
"1","q","L","q","839.132900001","100_c_6_2g_l_3.jpg","21","203"
"1","p","R","p","639.3317","100_c_6_2g_r_2.jpg","23","207"
"1","None","A","None","2000.0311","100_c_12_6g_a_2.jpg","24","143"
"1","None","A","None","2000.0331","100_c_12_6g_a_3.jpg","24","144"
"1","None","A","None","2000.0311","100_c_24_12g_a_2.jpg","29","183"
"1","None","A","None","2000.0222","100_c_6_3g_a_1.jpg","19","221"
"1","q","L","q","1257.3569","100_c_12_6g_l_4.jpg","25","154"
"1","q","L","q","840.7866","100_c_12_5g_l_4.jpg","26","124"
