"correct","correct_response","position","response","response_time","stimuli","stimuli_category","trial"
"1","None","A","None","2000.0266","100_s_12_0g_a_3.jpg","7","4"
"1","q","L","q","946.0836","100_s_12_0g_l_3.jpg","10","13"
"1","q","L","q","654.683700001","100_s_12_11g_l_1.jpg","9","21"
"1","None","A","None","2000.0385","100_s_12_0g_a_7.jpg","7","8"
"1","None","A","None","2000.0264","100_s_24_24g_a_7.jpg","13","78"
"1","p","R","p","1453.144","100_s_24_0g_r_1.jpg","18","56"
"1","None","A","None","2000.0337","100_s_12_0g_a_1.jpg","7","2"
"1","p","R","p","559.9588","100_s_6_5g_r_3.jpg","5","108"
"0","q","L","None","2000.0205","100_s_24_0g_l_1.jpg","16","51"
"1","None","A","None","2000.0295","100_s_6_6g_a_2.jpg","1","113"
"1","p","R","p","1128.9086","100_s_24_0g_r_2.jpg","18","57"
"1","None","A","None","2000.0279","100_s_12_12g_a_8.jpg","8","39"
"1","None","A","None","2000.0251","100_s_24_24g_a_10.jpg","13","71"
"1","q","L","q","564.0976","100_s_24_23g_l_5.jpg","15","65"
"1","None","A","None","2000.0215","100_s_24_0g_a_4.jpg","14","45"
"1","p","R","p","474.953200001","100_s_24_23g_r_1.jpg","17","66"
"1","p","R","p","594.391299999","100_s_24_23g_r_2.jpg","17","67"
"1","p","R","p","501.223199999","100_s_12_11g_r_3.jpg","11","28"
"1","None","A","None","2000.0293","100_s_24_0g_a_8.jpg","14","49"
"1","p","R","p","1062.7739","100_s_12_0g_r_5.jpg","12","20"
"1","p","R","p","862.890499999","100_s_6_5g_r_4.jpg","5","109"
"1","None","A","None","2000.2981","100_s_24_0g_a_5.jpg","14","46"
"1","q","L","q","505.748","100_s_6_0g_l_3.jpg","4","93"
"1","p","R","p","536.444199999","100_s_12_11g_r_1.jpg","11","26"
"1","None","A","None","2000.0219","100_s_6_6g_a_4.jpg","1","115"
"1","None","A","None","2000.0219","100_s_6_0g_a_3.jpg","2","84"
"1","q","L","q","465.618","100_s_12_11g_l_2.jpg","9","22"
"1","None","A","None","2000.0283","100_s_12_12g_a_2.jpg","8","33"
"1","None","A","None","2000.0264","100_s_24_24g_a_2.jpg","13","73"
"1","p","R","p","565.972299999","100_s_12_0g_r_3.jpg","12","18"
"1","q","L","q","737.3594","100_s_24_0g_l_3.jpg","16","53"
"1","None","A","None","2000.0329","100_s_12_0g_a_10.jpg","7","1"
"1","None","A","None","2000.033","100_s_12_12g_a_1.jpg","8","32"
"1","None","A","None","2000.0354","100_s_24_0g_a_3.jpg","14","44"
"1","None","A","None","2000.0361","100_s_12_12g_a_9.jpg","8","40"
"1","p","R","p","1039.265","100_s_12_0g_r_4.jpg","12","19"
"1","q","L","q","720.172500001","100_s_12_0g_l_2.jpg","10","12"
"1","None","A","None","2000.0332","100_s_24_24g_a_5.jpg","13","76"
"1","q","L","q","759.7355","100_s_24_0g_l_2.jpg","16","52"
"1","None","A","None","2000.2413","100_s_6_6g_a_8.jpg","1","119"
"1","p","R","p","548.7727","100_s_12_0g_r_1.jpg","12","16"
"1","q","L","q","513.383399999","100_s_24_23g_l_1.jpg","15","61"
"1","q","L","q","694.899100001","100_s_24_23g_l_4.jpg","15","64"
"1","q","L","q","612.960699998","100_s_12_11g_l_5.jpg","9","25"
"1","None","A","None","2000.0321","100_s_6_6g_a_5.jpg","1","116"
"1","q","L","q","544.636299999","100_s_24_23g_l_3.jpg","15","63"
"1","p","R","p","580.6753","100_s_24_23g_r_5.jpg","17","70"
"1","p","R","p","615.423900001","100_s_12_11g_r_4.jpg","11","29"
"1","None","A","None","2000.0329","100_s_6_6g_a_10.jpg","1","111"
"1","p","R","p","1026.9145","100_s_6_0g_r_1.jpg","6","96"
"1","p","R","p","595.762499999","100_s_6_0g_r_5.jpg","6","100"
"1","None","A","None","2000.027","100_s_12_12g_a_5.jpg","8","36"
"1","q","L","q","1080.1918","100_s_12_0g_l_4.jpg","10","14"
"1","None","A","None","2000.0272","100_s_24_24g_a_8.jpg","13","79"
"1","None","A","None","2000.0229","100_s_6_6g_a_1.jpg","1","112"
"1","p","R","p","603.916400001","100_s_24_23g_r_4.jpg","17","69"
"1","None","A","None","2000.0323","100_s_24_0g_a_2.jpg","14","43"
"1","None","A","None","2000.024","100_s_24_24g_a_6.jpg","13","77"
"1","None","A","None","2000.0425","100_s_24_24g_a_9.jpg","13","80"
"1","None","A","None","2000.0258","100_s_12_12g_a_6.jpg","8","37"
"1","p","R","p","592.6038","100_s_6_0g_r_2.jpg","6","97"
"1","q","L","q","994.717","100_s_6_5g_l_4.jpg","3","104"
"1","None","A","None","2000.0323","100_s_6_6g_a_6.jpg","1","117"
"1","None","A","None","2000.0286","100_s_12_12g_a_3.jpg","8","34"
"1","None","A","None","2000.0268","100_s_12_0g_a_4.jpg","7","5"
"1","q","L","q","564.8005","100_s_6_5g_l_1.jpg","3","101"
"1","None","A","None","2000.0408","100_s_24_24g_a_1.jpg","13","72"
"1","p","R","p","779.0193","100_s_6_5g_r_1.jpg","5","106"
"1","None","A","None","2000.0242","100_s_6_0g_a_8.jpg","2","89"
"1","q","L","q","648.4542","100_s_6_0g_l_2.jpg","4","92"
"1","p","R","p","848.5824","100_s_24_0g_r_3.jpg","18","58"
"1","None","A","None","2000.03","100_s_12_12g_a_4.jpg","8","35"
"1","p","R","p","1259.5104","100_s_12_11g_r_2.jpg","11","27"
"1","None","A","None","2000.024","100_s_12_12g_a_7.jpg","8","38"
"1","q","L","q","629.203499999","100_s_12_11g_l_3.jpg","9","23"
"1","None","A","None","2000.0361","100_s_24_24g_a_4.jpg","13","75"
"1","None","A","None","2000.0324","100_s_12_0g_a_2.jpg","7","3"
"1","q","L","q","1370.3256","100_s_12_0g_l_1.jpg","10","11"
"1","None","A","None","2000.0417","100_s_6_0g_a_5.jpg","2","86"
"1","None","A","None","2000.0262","100_s_6_0g_a_10.jpg","13","81"
"1","None","A","None","2000.0221","100_s_12_0g_a_6.jpg","7","7"
"1","p","R","p","1190.1867","100_s_24_23g_r_3.jpg","17","68"
"1","None","A","None","2000.0261","100_s_6_6g_a_7.jpg","1","118"
"1","q","L","q","914.4156","100_s_24_0g_l_5.jpg","16","55"
